city,company,station_name,gasoil10_price,station_location
Casablanca,TOTAL ENERGIES,ATTACHAROUK,‎ 13.97 DH,ROUTE DE SBIT  SIDI MOUMEN
Casablanca,TOTAL ENERGIES,M'DAKRA,‎ 13.97 DH,ROUTE DE BENSLIMANE
Casablanca,TOTAL ENERGIES,GRANDE CEINTURE,‎ 13.89 DH,"CITÉ NOUVELLE DE SIDI OTHMANE, TRANCHE D., MOULAY RACHID,"
Casablanca,TOTAL ENERGIES,DAR CHEMS,‎ 14.09 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
Casablanca,TOTAL ENERGIES,LIBERTE,‎ 13.97 DH,BOULEVARD GRANDE CEINTURE
Casablanca,TOTAL ENERGIES,AIN SEBAA,‎ 13.97 DH,ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII
Casablanca,TOTAL ENERGIES,ROUTE DE RABAT,‎ 13.97 DH,ROUTE DE RABAT - PK 7 - AIN SEBAA
Casablanca,TOTAL ENERGIES,ETTAJ,‎ 13.99 DH,RUE MARINIE
Casablanca,TOTAL ENERGIES,OULED ZIANE,‎ 13.97 DH,"260, BOULEVARD IBN TACHFINE"
Casablanca,TOTAL ENERGIES,ZI AIN SEBAA,‎ 13.97 DH,"BOULEVARD HAOUZA, Q.I OUKACHA, AIN SEBAA"
Casablanca,TOTAL ENERGIES,CITEE DJEMAA,‎ 14.07 DH,BOULEVARD IDRISS EL HARTI CITÉ JEMAA
Casablanca,TOTAL ENERGIES,EL FARAH,‎ 13.95 DH,BOULEVARD GRANDE CEINTURE
Casablanca,TOTAL ENERGIES,AERODROME,‎ 14.1 DH,ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA
Casablanca,TOTAL ENERGIES,ZI TIT MELLIL,‎ 13.97 DH,"PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
Casablanca,TOTAL ENERGIES,MOUSTAKBAL,‎ 13.97 DH,"868, BOULEVARD MOHAMMED VI"
Casablanca,TOTAL ENERGIES,ROCHES NOIRES,‎ 13.97 DH,AVENUE AMBASSADEUR BEN AICHA
Casablanca,TOTAL ENERGIES,MAMOUNIA,‎ 14.02 DH,PLACE HMIDOU OUATANI
Casablanca,TOTAL ENERGIES,AL AMAL,‎ 13.99 DH,BOULEVARD EMILE ZOLA
Casablanca,TOTAL ENERGIES,AIN MAAZI,‎ 13.97 DH,"28, BOULEVARD LA RESISTANCE"
Casablanca,TOTAL ENERGIES,AL MADINA,‎ 13.99 DH,ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI
Casablanca,TOTAL ENERGIES,MY DRISS,‎ 13.97 DH,ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER
Casablanca,TOTAL ENERGIES,ABDELMOUMEN,‎ 13.97 DH,"212, BOULEVARD ABDELMOUMEN"
Casablanca,TOTAL ENERGIES,PALMIERS,‎ 13.99 DH,QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI
Casablanca,TOTAL ENERGIES,GHANDI,‎ 13.98 DH,"61, BOULEVARD BORDEAUX"
Casablanca,TOTAL ENERGIES,RACINE,‎ 13.99 DH,ANGLE BOULEVARD ANFA - BOULEVARD ZERKTOUNI
Casablanca,TOTAL ENERGIES,RELAIS AL BAIDA,‎ 14.02 DH,"CASABLANCA VERS RABAT, PK 24"
Casablanca,TOTAL ENERGIES,ALMA,‎ 13.99 DH,"185, BOULEVARD BORDEAUX"
Casablanca,TOTAL ENERGIES,CHELLALATE,‎ 13.97 DH,"COMMUNE CHELLALATE, RTE N 9, MOHAMMEDIA"
Casablanca,TOTAL ENERGIES,ROUTE DU SUD,‎ 13.97 DH,BOULEVARD BRAHIM ROUDANI VERS ROUTE D'EL JADIDA
Casablanca,TOTAL ENERGIES,AL MASSIRA,‎ 13.99 DH,"87, BOULEVARD AL MASSIRA AL KHADRA"
Casablanca,TOTAL ENERGIES,VILLE VERTE,‎ 13.99 DH,VILLE VERTE BOSKOURA 
Casablanca,TOTAL ENERGIES,AIN HARROUDA,‎ 13.95 DH,CENTRE AIN HARROUDA
Casablanca,TOTAL ENERGIES,RIVIERA,‎ 13.97 DH,ANGLE RUE OMAR KHYAM ET ROUTE D'EL JADIDA
Casablanca,TOTAL ENERGIES,VELODROME,‎ 13.99 DH,BOULEVARD MY RACHID
Casablanca,TOTAL ENERGIES,MEDIOUNA,‎ 13.99 DH,"KM 7 CENTRE QUARTIER SIDI MAAROUF, ROUTE DE BOUSKOURA"
Casablanca,TOTAL ENERGIES,JADI,‎ 13.97 DH,"ROUTE NATIONALE N°9, CARREFOUR MEDIOUNA / CASABLANCA / TIT MELLIL"
Casablanca,TOTAL ENERGIES,NASSIM,‎ 13.97 DH,QUARTIER INDUSTRIEL LISSASFA VERS AUTOUROUTE D'ELJADIDA
Casablanca,TOTAL ENERGIES,OUM ERRABII,‎ 13.99 DH,BOULEVARD OUM ERRABII - QUARTIER OULFA
Casablanca,TOTAL ENERGIES,OUED MELLAH,‎ 13.95 DH,ROUTE COTIÈRE CASA MOHAMMEDIA
Casablanca,TOTAL ENERGIES,LISSASFA,‎ 13.97 DH,ROUTE D'EL JADIDA LISSASFA
Casablanca,TOTAL ENERGIES,BEAUSITE,‎ 13.71 DH,"NOUASSEUR, COMMUNE BOUSKOURA"
Casablanca,TOTAL ENERGIES,SAPINO,‎ 13.98 DH,ZONE INDUSTIELLE SAPINO - RN9 - ROUTE MÉDIOUNA VERS BERRECHID
Casablanca,TOTAL ENERGIES,OUED BOUSKOURA,‎ 13.98 DH,"COMMUNE OULED SALEH, BOUSKOURA"
Casablanca,TOTAL ENERGIES,BENI YAKHLEF,‎ 13.95 DH,"KYADA BENIKHLEF, RTE NATIONALE N1"
Casablanca,TOTAL ENERGIES,GARAGE EL ALIA,‎ 13.94 DH,16 BOULVARD HASSAN II
Casablanca,TOTAL ENERGIES,DU PARC,‎ 13.99 DH,RUE DE FEZ
Casablanca,TOTAL ENERGIES,DEROUA,‎ 13.98 DH,"DEROUA, LOTISSEMENT BAYTI SAKANE"
Casablanca,TOTAL ENERGIES,LOUIZIA,‎ 13.95 DH,39 RUE LES EUCALYPTUS
Casablanca,TOTAL ENERGIES,TAMARIS II,‎ 14.1 DH,KM 10 - DAR BOUAZZA - ROUTE AZEMMOUR
Casablanca,TOTAL ENERGIES,JNAN DEROUA,‎ 13.98 DH,"COMMUNE DEROUA, OULED HRIZ, BERRCHID"
Casablanca,TOTAL ENERGIES,AL BASSATINE,‎ 14 DH,"PROVINCE BENSLIMANE, COMMUNE EL MANSOURIA, LOUTISSEMENT INDUSTRIEL. "
Casablanca,TOTAL ENERGIES,LES IRIS,‎ 13.98 DH,"PROVINCE DE NOUACER C/R OULED AZZOUZ, DOUAR HARET EL GHABA"
Casablanca,TOTAL ENERGIES,AL MIZHARIA,‎ 13.89 DH,RN9 DAROUA VERS BERRECHID   CR JAKMA  BERRECHID
Casablanca,TOTAL ENERGIES,HAD SOUALEM,‎ 13.98 DH,LOT 128 LOTISSEMENT AL FADL HAD SOUALEM - SOUALEM
Casablanca,TOTAL ENERGIES,BELAIR,‎ 13.98 DH,"ROUTE NATIONALE N°11, ENTRÉE DE BERRECHID"
Casablanca,TOTAL ENERGIES,TAMARIS 3,‎ 14.07 DH,ROUTE NATIONALE CÔTIÈRE CASABLANCA - AZEMMOUR
Casablanca,TOTAL ENERGIES,BOUMAIZA,‎ 13.99 DH,KM 9 ROUTE RÉGIONALE R318 SORTIE DE BERRECHID VERS HAD SOUALEM
Casablanca,TOTAL ENERGIES,OULED HARRIZ,‎ 13.99 DH,ZI ROUTE DE MARRAKECH
Casablanca,TOTAL ENERGIES,DAHOMEY,‎ 13.98 DH,LOTISSEMENT BAHIA 1 - ROUTE CÔTIÈRE MOHAMMEDIA
