"city_x","company_x","station_name","gasoil10_price","supercarburant_price","station_location_y"
"Casablanca","TOTAL ENERGIES","ATTACHAROUK","‎ 13.97 DH","‎ 14.8 DH","ROUTE DE SBIT  SIDI MOUMEN"
"Casablanca","TOTAL ENERGIES","M'DAKRA","‎ 13.97 DH","‎ 14.8 DH","ROUTE DE BENSLIMANE"
"Casablanca","TOTAL ENERGIES","DAR CHEMS","‎ 14.09 DH","‎ 14.98 DH","ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
"Casablanca","TOTAL ENERGIES","LIBERTE","‎ 13.97 DH","‎ 14.8 DH","ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII"
"Casablanca","TOTAL ENERGIES","AIN SEBAA","‎ 13.97 DH","‎ 14.8 DH","ROUTE DE RABAT - PK 7 - AIN SEBAA"
"Casablanca","TOTAL ENERGIES","ROUTE DE RABAT","‎ 13.97 DH","‎ 14.8 DH","ROUTE DE RABAT - BOULEVARD MOULAY ISMAIL - AIN SEBAA"
"Casablanca","TOTAL ENERGIES","ETTAJ","‎ 13.99 DH","‎ 14.8 DH","RUE MARINIE"
"Casablanca","TOTAL ENERGIES","OULED ZIANE","‎ 13.97 DH","‎ 14.8 DH","260, BOULEVARD IBN TACHFINE"
"Casablanca","TOTAL ENERGIES","ZI AIN SEBAA","‎ 13.97 DH","‎ 14.8 DH","BOULEVARD HAOUZA, Q.I OUKACHA, AIN SEBAA"
"Casablanca","TOTAL ENERGIES","CITEE DJEMAA","‎ 14.07 DH","‎ 14.87 DH","BOULEVARD IDRISS EL HARTI CITÉ JEMAA"
"Casablanca","TOTAL ENERGIES","EL FARAH","‎ 13.95 DH","‎ 14.82 DH","BOULEVARD GRANDE CEINTURE"
"Casablanca","TOTAL ENERGIES","AERODROME","‎ 14.1 DH","‎ 14.8 DH","PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
"Casablanca","TOTAL ENERGIES","ZI TIT MELLIL","‎ 13.97 DH","‎ 14.85 DH","ZI TIT MELLIL, TITT MELLILEN"
"Casablanca","TOTAL ENERGIES","MOUSTAKBAL","‎ 13.97 DH","‎ 14.8 DH","868, BOULEVARD MOHAMMED VI"
"Casablanca","TOTAL ENERGIES","ROCHES NOIRES","‎ 13.97 DH","‎ 14.8 DH","AVENUE AMBASSADEUR BEN AICHA"
"Casablanca","TOTAL ENERGIES","MAMOUNIA","‎ 14.02 DH","‎ 14.87 DH","PLACE HMIDOU OUATANI"
"Casablanca","TOTAL ENERGIES","AL AMAL","‎ 13.99 DH","‎ 14.89 DH","BOULEVARD EMILE ZOLA"
"Casablanca","TOTAL ENERGIES","AIN MAAZI","‎ 13.97 DH","‎ 14.8 DH","28, BOULEVARD LA RESISTANCE"
"Casablanca","TOTAL ENERGIES","AL MADINA","‎ 13.99 DH","‎ 14.85 DH","ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI"
"Casablanca","TOTAL ENERGIES","MY DRISS","‎ 13.97 DH","‎ 14.8 DH","ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER"
"Casablanca","TOTAL ENERGIES","PALMIERS","‎ 13.99 DH","‎ 14.8 DH","212, BOULEVARD ABDELMOUMEN"
"Casablanca","TOTAL ENERGIES","PALMIERS","‎ 13.99 DH","‎ 14.89 DH","QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI"
"Casablanca","TOTAL ENERGIES","GHANDI","‎ 13.98 DH","‎ 14.99 DH","61, BOULEVARD BORDEAUX"
"Casablanca","TOTAL ENERGIES","RACINE","‎ 13.99 DH","‎ 14.8 DH","ANGLE BOULEVARD GHANDI ET RUE CLEMENT"
"Casablanca","TOTAL ENERGIES","RELAIS AL BAIDA","‎ 14.02 DH","‎ 14.88 DH","ANGLE BOULEVARD ANFA - BOULEVARD ZERKTOUNI"
"Casablanca","TOTAL ENERGIES","ALMA","‎ 13.99 DH","‎ 14.85 DH","CASABLANCA VERS RABAT, PK 24"
