city,company,station_name,supercarburant_price,station_location
Casablanca,AFRIQUIA,TACHAROUK 2,‎ 14.49 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
Casablanca,AFRIQUIA,TACHAROUK 1,‎ 14.29 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
Casablanca,AFRIQUIA,AIN SEBAA 2,‎ 14.29 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
Casablanca,AFRIQUIA,GRANDE CEINTURE II,‎ 14.29 DH,BOULEVARD GRANDE CEINTURE
Casablanca,AFRIQUIA,AIN SEBAA 1,‎ 14.24 DH,COMMUNE AIN SEBAÂ CASABLANCA
Casablanca,AFRIQUIA,MARCHE DE GROS,‎ 14.39 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
Casablanca,AFRIQUIA,ANASSI,‎ 14.29 DH,QUARTIER ANASSI SIDI BERNOUSSI
Casablanca,AFRIQUIA,STATION AFRIQUIA AIN SEBAA (ROUTE DE RABAT),‎ 14.29 DH,KM 7 ROUTE DE RABAT ARRONDISSEMENT AIN SEBAA
Casablanca,AFRIQUIA,MOULAY ISMAIL,‎ 14.29 DH,BOULEVARD MOULAY ISMAÏL ( CIDANA ) EX USINE DE CIRAGE
Casablanca,AFRIQUIA,STATION MOULAY SLIMANE,‎ 14.39 DH,ROUTE MOULAY SLIMANE
Casablanca,AFRIQUIA,GARE ROUTIERE OULED ZIANE,‎ 10.83 DH,GARE ROUTIÈRE OULED ZIANE
Casablanca,AFRIQUIA,AL AZHAR,‎ 14.29 DH,BOULEVARD MBAREK BEN BOUBKER HAMMADI SIDI MOUMEN BERNNOUSSI  
Casablanca,AFRIQUIA,EL BERNOUSSI,‎ 14.29 DH,ROUTE DE RABAT N°1 SIDI BERNOUSSI CASABLANCA
Casablanca,AFRIQUIA,DERB SULTAN,‎ 14.29 DH,ROUTE MEDIOUNA  DERB SULTAN
Casablanca,AFRIQUIA,AL FIDA,‎ 14.29 DH,RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES
Casablanca,AFRIQUIA,YAKOUT LAKSSIBA,‎ 14.29 DH,ROUTE DE MEDIOUNA CASALANCA
Casablanca,AFRIQUIA,LA GIRONDE,‎ 14.29 DH,ROND-POINT LA GIRONDE PLACE AL KHAIBAR
Casablanca,AFRIQUIA,INARA,‎ 14.35 DH,BOULEVARD 2 MARS HAY INARA AIN CHOK
Casablanca,AFRIQUIA,LA RESISTANCE,‎ 14.29 DH,BOULEVARD LA RÉSISTANCE CASABLANCA
Casablanca,AFRIQUIA,HERMITAGE,‎ 14.29 DH,QUARTIER DERB OMAR RESIDENCE JAWHARA
Casablanca,AFRIQUIA,SIDI HAJAJ,‎ 14.34 DH,BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA
Casablanca,AFRIQUIA,ABDELMOUMEN I,‎ 14.29 DH,RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA
