city,company,station_name,supercarburant_price,station_location
Casablanca,TOTAL ENERGIES,ATTACHAROUK,‎ 14.8 DH,ROUTE DE SBIT  SIDI MOUMEN
Casablanca,TOTAL ENERGIES,M'DAKRA,‎ 14.8 DH,ROUTE DE BENSLIMANE
Casablanca,TOTAL ENERGIES,VILLE NOUVELLE ,‎ 14.9 DH,"CITÉ NOUVELLE DE SIDI OTHMANE, TRANCHE D., MOULAY RACHID,"
Casablanca,TOTAL ENERGIES,DAR CHEMS,‎ 14.98 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
Casablanca,TOTAL ENERGIES,LIBERTE,‎ 14.8 DH,ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII
Casablanca,TOTAL ENERGIES,AIN SEBAA,‎ 14.8 DH,ROUTE DE RABAT - PK 7 - AIN SEBAA
Casablanca,TOTAL ENERGIES,ROUTE DE RABAT,‎ 14.8 DH,ROUTE DE RABAT - BOULEVARD MOULAY ISMAIL - AIN SEBAA
Casablanca,TOTAL ENERGIES,ETTAJ,‎ 14.8 DH,RUE MARINIE
Casablanca,TOTAL ENERGIES,OULED ZIANE,‎ 14.8 DH,"260, BOULEVARD IBN TACHFINE"
Casablanca,TOTAL ENERGIES,ZI AIN SEBAA,‎ 14.8 DH,"BOULEVARD HAOUZA, Q.I OUKACHA, AIN SEBAA"
Casablanca,TOTAL ENERGIES,CITEE DJEMAA,‎ 14.87 DH,BOULEVARD IDRISS EL HARTI CITÉ JEMAA
Casablanca,TOTAL ENERGIES,EL FARAH,‎ 14.82 DH,BOULEVARD GRANDE CEINTURE
Casablanca,TOTAL ENERGIES,ZENATA,‎ 14.85 DH,ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA
Casablanca,TOTAL ENERGIES,AERODROME,‎ 14.8 DH,"PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
Casablanca,TOTAL ENERGIES,ZI TIT MELLIL,‎ 14.85 DH,"ZI TIT MELLIL, TITT MELLILEN"
Casablanca,TOTAL ENERGIES,MOUSTAKBAL,‎ 14.8 DH,"868, BOULEVARD MOHAMMED VI"
Casablanca,TOTAL ENERGIES,ROCHES NOIRES,‎ 14.8 DH,AVENUE AMBASSADEUR BEN AICHA
Casablanca,TOTAL ENERGIES,MAMOUNIA,‎ 14.87 DH,PLACE HMIDOU OUATANI
Casablanca,TOTAL ENERGIES,AL AMAL,‎ 14.89 DH,BOULEVARD EMILE ZOLA
Casablanca,TOTAL ENERGIES,AIN MAAZI,‎ 14.8 DH,"28, BOULEVARD LA RESISTANCE"
Casablanca,TOTAL ENERGIES,AL MADINA,‎ 14.85 DH,ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI
Casablanca,TOTAL ENERGIES,MY DRISS,‎ 14.8 DH,ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER
Casablanca,TOTAL ENERGIES,PALMIERS,‎ 14.8 DH,"212, BOULEVARD ABDELMOUMEN"
Casablanca,TOTAL ENERGIES,PALMIERS,‎ 14.89 DH,QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI
