"city","station_name","supercarburant sans plomb","gasoil10_price","station_location"
"Casablanca","TACHAROUK 2","‎ 14.49 DH","‎ 14.05 DH","BV OQBA IBNO NAFIAA, TACHAROUK"
"Casablanca","ATTACHAROUK","‎ 14.8 DH","‎ 13.97 DH","ROUTE DE SBIT  SIDI MOUMEN"
"Casablanca","ISTIRAHA RAJIF","‎ 14.72 DH","‎ 13.89 DH","ANGLE BD ABDELKADER SAHRAOUI ET OQBA IBNOU NAFII MY RACHID"
"Casablanca","TACHAROUK 1","‎ 14.29 DH","‎ 13.62 DH","""AVENUE OKBA IBNOU NAFIA 
ET ABDELKADER SAHRAOUI  CASABLANCA                              """
"Casablanca","S/S IKHLASS","‎ 14.83 DH","‎ 13.96 DH","HAY MOULAY RACHID TRANCHE ""B"" BOULEVARD ABDELKADER SAHRAOUI"
"Casablanca","M'DAKRA","‎ 14.57 DH","‎ 13.97 DH","ROUTE DE BENSLIMANE"
"Casablanca","S/S OQBA","‎ 14.8 DH","‎ 13.96 DH","KM 6.700 BOULEVARD OQBA BEN NAFIA- SIDI MOUMEN"
"Casablanca","PETROFAN S/S SIDI MOUMEN ","‎ 14.83 DH","‎ 13.96 DH","ANGLE ROUTE CHABBOU ET BV HOUCINE ESSOUSI SIDI MOUMEN ARRONDISSEMENT SIDI BERNOUSSI "
"Casablanca","VILLE NOUVELLE ","‎ 14.8 DH","‎ 13.97 DH","AVENUE C HAY MY RACHID-, CASABLANCA"
"Casablanca","S/S AL WIFAK","‎ 14.9 DH","‎ 13.96 DH","SALAMA III, BEN MSIK SIDI OHTMANE"
"Casablanca","PETROFAN S/S ATTACHAROUK","‎ 14.83 DH","‎ 13.96 DH","HAY MOULAY RACHID - CASABLANCA"
"Casablanca","AIN SEBAA 2","‎ 14.29 DH","‎ 13.57 DH","LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ"
"Casablanca","GRANDE CEINTURE","‎ 14.98 DH","‎ 14.09 DH","ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
"Casablanca","GRANDE CEINTURE I","‎ 14.29 DH","‎ 13.62 DH","BOULEVARD GRANDE CEINTURE"
"Casablanca","PETROM ATTACHAROUK","‎ 16.83 DH","‎ 15.71 DH","BD OQBA BNOU NAFII CASABLANCA"
"Casablanca","GRANDE CEINTURE II","‎ 14.29 DH","‎ 13.98 DH","120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
"Casablanca","M DAKRA","‎ 14.8 DH","‎ 13.97 DH","RUE OKBA BEN NAFI, CASABLANCA 05"
"Casablanca","AIN SEBAA 1","‎ 14.24 DH","‎ 13.54 DH","COMMUNE AIN SEBAÂ CASABLANCA"
"Casablanca","ISTIRAHA EL AMANE","‎ 14.72 DH","‎ 13.89 DH","BD OKBA BNOU NAFIR HAY ADIL CASABLANCA"
"Casablanca","MARCHE DE GROS","‎ 14.39 DH","‎ 13.66 DH","ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI"
"Casablanca","WINXO ROUTE DE BENSLIMANE","‎ 14.78 DH","‎ 13.89 DH","ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
"Casablanca","LIBERTE","‎ 14.8 DH","‎ 13.97 DH","BOULEVARD GRANDE CEINTURE"
"Casablanca","SIDI MOUMEN","‎ 14.8 DH","‎ 13.97 DH","ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII"
"Casablanca","S/S SORAA","‎ 14.83 DH","‎ 13.97 DH","KM 10 RTE RABAT AIN SEBAA-, CASABLANCA"
"Casablanca","2000 SIDI OTHMANE SS","‎ 14.73 DH","‎ 13.88 DH","BOULEVARD GRAND CENTURE -AIN SEBAA "
"Casablanca","ZOO","‎ 14.8 DH","‎ 13.97 DH","KM 9 ROUTE DE RABAT, CASABLANCA"
"Casablanca","ZOO SS","‎ 14.57 DH","‎ 14.85 DH","ROUTE DE CASA, SIDI BERNOUSSI"
"Casablanca","TARIK ESSALAMA","‎ 14.8 DH","‎ 13.97 DH","KM 7 ROUTE DE RABAT AIN SEB—A -, CASABLANCA"
"Casablanca","GRANDE ROUTE (AL AMAL)","‎ 14.8 DH","‎ 13.97 DH","ROUTE DE RABAT AIN SBAA PRES DE ONTS, CASABLANCA"
"Casablanca","ANASSI","‎ 14.29 DH","‎ 13.62 DH","QUARTIER ANASSI SIDI BERNOUSSI"
"Casablanca","KODIATE","‎ 14.8 DH","‎ 13.97 DH","BLOC KODIAT IM. B HAY MOHAMMEDI, CASABLANCA"
"Casablanca","WINXO AIN SEBAA","‎ 14.8 DH","‎ 13.89 DH","BD MOULAY ISMAIL"
"Casablanca","ROUTE DE RABAT","‎ 14.8 DH","‎ 13.97 DH","ROUTE DE RABAT - BOULEVARD MOULAY ISMAIL - AIN SEBAA"
"Casablanca","ETTAJ","‎ 14.8 DH","‎ 13.99 DH","RUE MARINIE"
"Casablanca","STATION SIDI OTHMANE","‎ 14.8 DH","‎ 13.95 DH","BD BOUMAAMRANI HAY ACHABAB -AIN SEBAA"
"Casablanca","JONQUILLE","‎ 14.8 DH","‎ 13.97 DH","RUE IBN ADARA EL MOURAKCHI, CASABLANCA"
"Casablanca","WINXO AIN BORJA","‎ 14.78 DH","‎ 13.89 DH","BD IBN TACHFINE"
"Casablanca","MY CHERIF","‎ 14.8 DH","‎ 13.97 DH","PLACE HEINTZ -DERB MLY CHERIF  - HAY MOH, CASABLANCA"
"Casablanca","S/S AHL LOUGHLAM","‎ 14.83 DH","‎ 13.96 DH","BOULEVARD AHL LOUGHLAM , LOTISSEMENT ALAMIA -COMMUNE SIDI MOUMEN  "
"Casablanca","OULED ZIANE","‎ 14.8 DH","‎ 13.97 DH","260, BOULEVARD IBN TACHFINE"
"Casablanca","OULED ZIANE","‎ 14.8 DH","‎ 13.97 DH","194, ROUTE OULED ZIANE -, CASABLANCA"
"Casablanca","OULED ZIANE","‎ 14.8 DH","‎ 13.97 DH","260, BOULEVARD IBN TACHFINE"
"Casablanca","OULED ZIANE","‎ 14.8 DH","‎ 13.97 DH","194, ROUTE OULED ZIANE -, CASABLANCA"
"Casablanca","STATION AFRIQUIA AIN SEBAA (ROUTE DE RABAT)","‎ 14.29 DH","‎ 13.62 DH","KM 7 ROUTE DE RABAT ARRONDISSEMENT AIN SEBAA"
"Casablanca","BERNOUSSI","‎ 14.8 DH","‎ 13.97 DH","KM 9,400, CASABLANCA"
"Casablanca","STATION PETROM SALMIA","‎ 14.75 DH","‎ 13.9 DH","AVENUE AL JOULANE SALMIA"
"Casablanca","S/BS GESTTION GHOFRAN","‎ 14.83 DH","‎ 13.96 DH","DOUAR OULED MELLOUK ,COMMUNE LAHRAWIYINE"
"Casablanca","ZI AIN SEBAA","‎ 14.8 DH","‎ 13.97 DH","BOULEVARD HAOUZA, Q.I OUKACHA, AIN SEBAA"
"Casablanca","BEN MSIK","‎ 14.8 DH","‎ 13.97 DH","BD GRANDE CEINTURE, CASABLANCA"
"Casablanca","CITEE DJEMAA","‎ 14.87 DH","‎ 14.07 DH","BOULEVARD IDRISS EL HARTI CITÉ JEMAA"
"Casablanca","WINXO CHORFA","‎ 14.82 DH","‎ 13.95 DH","BEN M'SIK DERB MILAN"
"Casablanca","WINXO TIT MELLIL","‎ 14.75 DH","‎ 13.9 DH","CENTRE TIT MELLIL"
"Casablanca","S/S CHEMSS AL MADINA","‎ 14.83 DH","‎ 13.96 DH","COMMUNE CHELLALATE – PROVINE DE MOHAMMEDIA "
"Casablanca","EL FARAH","‎ 14.82 DH","‎ 13.95 DH","BOULEVARD GRANDE CEINTURE"
"Casablanca","S/S JAMILA","‎ 14.83 DH","‎ 13.96 DH","208, BOULEVARD SAKIA EL HAMRA-  JAMILA II - SIDI OUTMANE "
"Casablanca","AIN BORJA","‎ 14.8 DH","‎ 13.97 DH","192, BD MY ISMAIL, CASABLANCA"
"Casablanca","FAGES","‎ 14.8 DH","‎ 13.97 DH","172, BD IBN TACHFINE-, CASABLANCA"
"Casablanca","STATION MOULAY SLIMANE","‎ 14.39 DH","‎ 13.79 DH","ROUTE MOULAY SLIMANE"
"Casablanca","WINXO LA VILLETTE","‎ 14.8 DH","‎ 13.95 DH","RUE DE LA VILLETTE"
"Casablanca","ZENATA","‎ 10.83 DH","‎ 14.1 DH","ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA"
"Casablanca","ZENATA","‎ 10.83 DH","‎ 13.97 DH","ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
"Casablanca","ZENATA","‎ 10.83 DH","‎ 13.62 DH"," ENTRÉE VERS MOHAMMEDIA ZENATA"
"Casablanca","ZENATA","‎ 14.8 DH","‎ 14.1 DH","ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA"
"Casablanca","ZENATA","‎ 14.8 DH","‎ 13.97 DH","ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
"Casablanca","ZENATA","‎ 14.8 DH","‎ 13.62 DH"," ENTRÉE VERS MOHAMMEDIA ZENATA"
"Casablanca","ZENATA","‎ 14.29 DH","‎ 14.1 DH","ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA"
"Casablanca","ZENATA","‎ 14.29 DH","‎ 13.97 DH","ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
"Casablanca","ZENATA","‎ 14.29 DH","‎ 13.62 DH"," ENTRÉE VERS MOHAMMEDIA ZENATA"
"Casablanca","AL AZHAR","‎ 14.29 DH","‎ 13.62 DH","BOULEVARD MBAREK BEN BOUBKER HAMMADI SIDI MOUMEN BERNNOUSSI  "
