city,station_name,gasoil10_price,station_location
Casablanca,TACHAROUK 2,‎ 14.05 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
Casablanca,ATTACHAROUK,‎ 13.97 DH,ROUTE DE SBIT  SIDI MOUMEN
Casablanca,ISTIRAHA RAJIF,‎ 13.89 DH,ANGLE BD ABDELKADER SAHRAOUI ET OQBA IBNOU NAFII MY RACHID
Casablanca,TACHAROUK 1,‎ 13.62 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
Casablanca,S/S IKHLASS,‎ 13.96 DH,"HAY MOULAY RACHID TRANCHE ""B"" BOULEVARD ABDELKADER SAHRAOUI"
Casablanca,MABROUKA SS,‎ 14.68 DH,"KM 6,8  ROUTE DE BEN SLIMAN"
Casablanca,M'DAKRA,‎ 13.97 DH,ROUTE DE BENSLIMANE
Casablanca,S/S OQBA,‎ 13.96 DH,KM 6.700 BOULEVARD OQBA BEN NAFIA- SIDI MOUMEN
Casablanca,PETROFAN S/S SIDI MOUMEN ,‎ 13.96 DH,ANGLE ROUTE CHABBOU ET BV HOUCINE ESSOUSI SIDI MOUMEN ARRONDISSEMENT SIDI BERNOUSSI 
Casablanca,VILLE NOUVELLE ,‎ 13.97 DH,"AVENUE C HAY MY RACHID-, CASABLANCA"
Casablanca,S/S AL WIFAK,‎ 13.96 DH,"SALAMA III, BEN MSIK SIDI OHTMANE"
Casablanca,PETROFAN S/S ATTACHAROUK,‎ 13.96 DH,HAY MOULAY RACHID - CASABLANCA
Casablanca,AIN SEBAA 2,‎ 13.57 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
Casablanca,GRANDE CEINTURE,‎ 14.09 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
Casablanca,GRANDE CEINTURE I,‎ 13.62 DH,BOULEVARD GRANDE CEINTURE
Casablanca,PETROM ATTACHAROUK,‎ 15.71 DH,BD OQBA BNOU NAFII CASABLANCA
Casablanca,GRANDE CEINTURE II,‎ 13.98 DH,"120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
Casablanca,M DAKRA,‎ 13.97 DH,"RUE OKBA BEN NAFI, CASABLANCA 05"
Casablanca,AIN SEBAA 1,‎ 13.54 DH,COMMUNE AIN SEBAÂ CASABLANCA
Casablanca,ISTIRAHA EL AMANE,‎ 13.89 DH,BD OKBA BNOU NAFIR HAY ADIL CASABLANCA
Casablanca,MARCHE DE GROS,‎ 13.66 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
Casablanca,WINXO ROUTE DE BENSLIMANE,‎ 13.89 DH,"ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
Casablanca,LIBERTE,‎ 13.97 DH,BOULEVARD GRANDE CEINTURE
Casablanca,SIDI MOUMEN,‎ 13.97 DH,ANGLE BOULEVARDS GRANDE CEINTURE ET OKBA BNOU NAFII
Casablanca,S/S SORAA,‎ 13.97 DH,"KM 10 RTE RABAT AIN SEBAA-, CASABLANCA"
Casablanca,2000 SIDI OTHMANE SS,‎ 13.88 DH,BOULEVARD GRAND CENTURE -AIN SEBAA 
Casablanca,ZOO,‎ 13.97 DH,"KM 9 ROUTE DE RABAT, CASABLANCA"
Casablanca,ZOO SS,‎ 14.85 DH,"ROUTE DE CASA, SIDI BERNOUSSI"
Casablanca,TARIK ESSALAMA,‎ 13.97 DH,"KM 7 ROUTE DE RABAT AIN SEB—A -, CASABLANCA"
Casablanca,GRANDE ROUTE (AL AMAL),‎ 13.97 DH,"ROUTE DE RABAT AIN SBAA PRES DE ONTS, CASABLANCA"
Casablanca,ANASSI,‎ 13.62 DH,QUARTIER ANASSI SIDI BERNOUSSI
Casablanca,KODIATE,‎ 13.97 DH,"BLOC KODIAT IM. B HAY MOHAMMEDI, CASABLANCA"
Casablanca,AIN SEBAA,‎ 13.97 DH,ROUTE DE RABAT - PK 7 - AIN SEBAA
Casablanca,WINXO AIN SEBAA,‎ 13.89 DH,BD MOULAY ISMAIL
