city,station_name,supercarburant sans plomb,station_location
Casablanca,TACHAROUK 2,‎ 14.49 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
Casablanca,ATTACHAROUK,‎ 14.8 DH,ROUTE DE SBIT  SIDI MOUMEN
Casablanca,ISTIRAHA RAJIF,‎ 14.72 DH,ANGLE BD ABDELKADER SAHRAOUI ET OQBA IBNOU NAFII MY RACHID
Casablanca,TACHAROUK 1,‎ 14.29 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
Casablanca,S/S IKHLASS,‎ 14.83 DH,"HAY MOULAY RACHID TRANCHE ""B"" BOULEVARD ABDELKADER SAHRAOUI"
Casablanca,M'DAKRA,‎ 14.57 DH,"KM 6,8  ROUTE DE BEN SLIMAN"
Casablanca,S/S OQBA,‎ 14.8 DH,ROUTE DE BENSLIMANE
Casablanca,PETROFAN S/S SIDI MOUMEN ,‎ 14.83 DH,KM 6.700 BOULEVARD OQBA BEN NAFIA- SIDI MOUMEN
Casablanca,BOURNAZEL,‎ 14.83 DH,ANGLE ROUTE CHABBOU ET BV HOUCINE ESSOUSI SIDI MOUMEN ARRONDISSEMENT SIDI BERNOUSSI 
Casablanca,VILLE NOUVELLE ,‎ 14.8 DH,"AVENUE C HAY MY RACHID-, CASABLANCA"
Casablanca,S/S AL WIFAK,‎ 14.9 DH,"CITÉ NOUVELLE DE SIDI OTHMANE, TRANCHE D., MOULAY RACHID,"
Casablanca,PETROFAN S/S ATTACHAROUK,‎ 14.83 DH,"SALAMA III, BEN MSIK SIDI OHTMANE"
Casablanca,AIN SEBAA 2,‎ 14.29 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
Casablanca,GRANDE CEINTURE,‎ 14.98 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
Casablanca,GRANDE CEINTURE I,‎ 14.29 DH,BOULEVARD GRANDE CEINTURE
Casablanca,PETROM ATTACHAROUK,‎ 16.83 DH,BD OQBA BNOU NAFII CASABLANCA
Casablanca,GRANDE CEINTURE II,‎ 14.29 DH,"120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
Casablanca,M DAKRA,‎ 14.8 DH,"RUE OKBA BEN NAFI, CASABLANCA 05"
Casablanca,AIN SEBAA 1,‎ 14.24 DH,COMMUNE AIN SEBAÂ CASABLANCA
Casablanca,ISTIRAHA EL AMANE,‎ 14.72 DH,BD OKBA BNOU NAFIR HAY ADIL CASABLANCA
Casablanca,MARCHE DE GROS,‎ 14.39 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
Casablanca,WINXO ROUTE DE BENSLIMANE,‎ 14.78 DH,"ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
Casablanca,DAR CHEMS,‎ 14.93 DH,BOULEVARD GRANDE CEINTURE
