station_name,gasoil10_price,station_location
TACHAROUK 2,‎ 14.05 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
ATTACHAROUK,‎ 13.97 DH,ROUTE DE SBIT  SIDI MOUMEN
ISTIRAHA RAJIF,‎ 13.89 DH,ANGLE BD ABDELKADER SAHRAOUI ET OQBA IBNOU NAFII MY RACHID
TACHAROUK 1,‎ 13.62 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
MABROUKA SS,‎ 13.96 DH,"HAY MOULAY RACHID TRANCHE ""B"" BOULEVARD ABDELKADER SAHRAOUI"
M'DAKRA,‎ 13.97 DH,ROUTE DE BENSLIMANE
S/S OQBA,‎ 13.96 DH,KM 6.700 BOULEVARD OQBA BEN NAFIA- SIDI MOUMEN
PETROFAN S/S SIDI MOUMEN ,‎ 13.96 DH,ANGLE ROUTE CHABBOU ET BV HOUCINE ESSOUSI SIDI MOUMEN ARRONDISSEMENT SIDI BERNOUSSI 
BOURNAZEL,‎ 13.97 DH,"AVENUE C HAY MY RACHID-, CASABLANCA"
VILLE NOUVELLE ,‎ 13.89 DH,"CITÉ NOUVELLE DE SIDI OTHMANE, TRANCHE D., MOULAY RACHID,"
S/S AL WIFAK,‎ 13.96 DH,"SALAMA III, BEN MSIK SIDI OHTMANE"
PETROFAN S/S ATTACHAROUK,‎ 13.96 DH,HAY MOULAY RACHID - CASABLANCA
AIN SEBAA 2,‎ 13.57 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
GRANDE CEINTURE I,‎ 14.09 DH,"ANGLE BOULEBARD DE LA GRANDE CEINTURE, AIN SEBAA"
PETROM ATTACHAROUK,‎ 15.71 DH,BD OQBA BNOU NAFII CASABLANCA
GRANDE CEINTURE II,‎ 13.98 DH,"120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
M DAKRA,‎ 13.97 DH,"RUE OKBA BEN NAFI, CASABLANCA 05"
AIN SEBAA 1,‎ 13.54 DH,COMMUNE AIN SEBAÂ CASABLANCA
ISTIRAHA EL AMANE,‎ 13.89 DH,BD OKBA BNOU NAFIR HAY ADIL CASABLANCA
MARCHE DE GROS,‎ 13.66 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
WINXO ROUTE DE BENSLIMANE,‎ 13.89 DH,"ROUTE BENSLIMANE ,ANGLE BD LA GRANDE CEINTURE & BD OKBA IBNO NAFIA"
LIBERTE,‎ 13.97 DH,BOULEVARD GRANDE CEINTURE
SIDI MOUMEN,‎ 13.97 DH,"KM 10 RTE RABAT AIN SEBAA-, CASABLANCA"
S/S SORAA,‎ 13.96 DH,BOULEVARD GRAND CENTURE -AIN SEBAA 
2000 SIDI OTHMANE SS,‎ 13.88 DH,BOULEVARD DRISS EL HARTI
ZOO,‎ 13.97 DH,"KM 9 ROUTE DE RABAT, CASABLANCA"
ZOO SS,‎ 14.85 DH,"ROUTE DE CASA, SIDI BERNOUSSI"
GRANDE ROUTE (AL AMAL),‎ 13.97 DH,"KM 7 ROUTE DE RABAT AIN SEB—A -, CASABLANCA"
ANASSI,‎ 13.62 DH,"ROUTE DE RABAT AIN SBAA PRES DE ONTS, CASABLANCA"
KODIATE,‎ 13.97 DH,"BLOC KODIAT IM. B HAY MOHAMMEDI, CASABLANCA"
AIN SEBAA,‎ 13.97 DH,ROUTE DE RABAT - PK 7 - AIN SEBAA
WINXO AIN SEBAA,‎ 13.89 DH,BD MOULAY ISMAIL
ROUTE DE RABAT,‎ 13.97 DH,ROUTE DE RABAT - BOULEVARD MOULAY ISMAIL - AIN SEBAA
